CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
2554771,HOSPITAL MATERNIDADE MARIA JOSE DOS SANTOS,Pequeno,HOSPITAL MATERNIDADE MARIA JOSE DOS SANTOS,-6.789129133256757,-38.7259767577818,False
5018110,HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,Medio,HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,-4.320780151851159,-40.71289828579279,False
2414872,HOSP MATERN OTACILIO MOTA,Pequeno,HOSP MATERN OTACILIO MOTA,-4.5425791,-40.7173442,False
2372622,HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,Pequeno,HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,-5.8096095,-38.3015293,False
2479478,HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO,Pequeno,HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO,-3.7492301,-39.7798954,False
2372673,UNID MISTA JOSEFA MA CONCEICAO,Pequeno,UNID MISTA JOSEFA MA CONCEICAO,-4.678100297354964,-37.82100685077229,False
2724308,HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,Pequeno,HOSPITAL E MATERNIDADE ESTER CAVALCANTE ASSUNCAO,-3.972865399999999,-38.5211706,False
2562154,HOSP MATERN JOAO FERREIRA GOMES,Pequeno,HOSP MATERN JOAO FERREIRA GOMES,-3.6817330937815633,-39.58909234126292,False
2552086,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,Grande,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,-7.3119638,-39.3027232,False
0153087,HOSPITAL REGIONAL DE ITAPIPOCA,Pequeno,HOSPITAL REGIONAL DE ITAPIPOCA,-3.496565572849428,-39.59765856838256,False
